,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
Industrial mold manufacturing,5931,1000,658878.5468,733.0670916,36.26924502,214.3343441,983.6706807,1382.374145,1691.126677,197.4100162,389.7210163,35.21097762,13.90737836,8.819539786,1.723755383,2.501552092,0.543990304,0.047562372,0.270978427,8.875112972,2.128346259,3.925006799,7.922260351,0.384630932,1.538646046,0.136798833,0.082406791,0.04943848,0.012271962,0.014784382,0.004048632,0.000199043,0.001664292,0.052242495,0.013272342,9.01E-05,0.000300699
"Special tool, die, jig, and fixture manufacturing",7928,1000,634589.3715,751.30598,37.76950229,195.659246,984.7347283,1321.662371,1434.619333,185.338034,353.7750216,37.50240177,12.49078386,7.938394535,1.490268468,2.299220271,0.478725976,0.04136699,0.242807622,7.958826257,1.924497335,3.739995029,6.787961344,0.35829568,1.469631566,0.134868182,0.073803849,0.044183424,0.011024831,0.013300864,0.003625063,0.000180458,0.001489209,0.046725205,0.011917002,5.67E-05,0.000305239
Cutting tool and machine tool accessory manufacturing,4696,1000,593125.7054,691.8977199,32.95357219,259.830301,984.6815931,1465.421281,1574.20781,221.0740814,358.362263,32.69837945,13.45907046,8.568440184,1.63310729,2.421598112,0.526133071,0.04609491,0.263696892,8.584223559,2.064067942,4.197222704,7.28590529,0.365563892,1.466060554,0.144283868,0.226672214,0.133955667,0.034018404,0.04227178,0.011258305,0.000581267,0.00458679,0.142466622,0.037282234,4.04E-05,0.000303118
Metal cutting and forming machine tool manufacturing,3838,1000,545696.8528,727.4968527,38.25237857,214.5811132,980.3303444,1231.505812,1290.889068,183.1160828,390.8722452,33.88402607,11.67058938,7.36175601,1.420499355,2.165905058,0.455974212,0.038543066,0.227911681,7.414649968,1.812772786,3.785157634,5.987873766,0.406700503,1.37442729,0.116402036,0.311655081,0.187163873,0.045431155,0.056442706,0.015481008,0.000773583,0.006362755,0.197610387,0.0503064,0.000131097,0.000328858
Rolling mill and other metalworking machinery manufacturing,3145,1000,496450.2353,718.6784383,38.03790557,229.3610691,986.077413,1086.986172,1161.250292,150.130687,328.6083331,29.05112467,10.29531641,6.513590001,1.239806768,1.909831325,0.397465778,0.034128822,0.200493717,6.543472466,1.595494218,3.105952956,5.47362572,0.339145499,1.270848318,0.105722148,0.063323523,0.036770803,0.010007328,0.012018489,0.003124133,0.000151024,0.001251745,0.039521938,0.01058744,8.83E-05,0.000280612
Turbine and turbine generator set units manufacturing,12718,1000,397555.3206,343.118421,22.52090023,609.1112764,974.7505976,962.1590449,979.6447013,151.092321,319.0010193,21.94981408,9.610691352,5.99999147,1.184924342,1.835374178,0.371544212,0.031632491,0.187224658,6.058262414,1.520568514,3.403879987,4.622238275,0.338521485,1.148496637,0.097534238,0.314787312,0.189658849,0.049231296,0.053898028,0.014061534,0.000980537,0.006957068,0.195665924,0.051573945,0.000196012,0.000356983
"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",1958,1000,557196.2722,687.8169734,37.96094903,234.4632494,960.2411718,1177.67153,1326.86345,170.3394423,320.0628428,28.39929494,11.80084768,7.466513244,1.414210513,2.193250104,0.457861306,0.038829461,0.230183054,7.503022803,1.827885413,3.647323761,6.28339898,0.325632374,1.414173983,0.13029023,0.258876359,0.156002601,0.041265109,0.043515079,0.011537462,0.000769494,0.005786615,0.160893613,0.042474297,0.000100677,0.000318232
Mechanical Power Transmission Equipment Manufacturing,2617,1000,675982.4238,672.0759494,37.2010631,258.824491,968.1015034,1416.16775,1598.323574,219.6371721,408.4729134,34.28966975,14.64046305,9.236898249,1.785339943,2.710804629,0.572966989,0.047929315,0.286523929,9.306311118,2.270608609,4.824255928,7.581741632,0.42413621,1.663883965,0.146401343,0.760261809,0.430622265,0.13281184,0.139284792,0.038395043,0.002186024,0.016961844,0.472769218,0.125868836,0.000161975,0.000402347
Other engine equipment manufacturing,18478,1000,644486.7377,610.0394576,43.02059059,312.2995589,965.3596071,1823.802157,1714.378496,264.9698591,665.7833201,59.42563587,17.02948776,10.6954768,2.202649887,3.055743727,0.680257537,0.058956853,0.336402952,10.79239627,2.649723723,5.635244763,7.940131538,0.745927354,2.547949564,0.160175097,1.19984689,0.701481078,0.200610863,0.210711676,0.056679205,0.003544736,0.026819333,0.744467909,0.198419912,0.000257131,0.000503626
Pump and pumping equipment manufacturing,7387,1000,563122.8858,640.9619697,37.86277354,301.5831614,980.4079046,1323.082301,1539.344106,210.9470096,495.3960326,36.05339046,13.88443267,8.703404597,1.727191741,2.598918269,0.537369995,0.047427152,0.27012092,8.777092989,2.177116464,4.530430152,7.176352015,0.524987569,1.524857411,0.12776708,0.231657811,0.14057202,0.035609541,0.036652088,0.012707935,0.000848909,0.005267318,0.143528815,0.03966937,0.000233355,0.000459277
Air and gas compressor manufacturing,4350,1000,563718.2772,691.608389,43.23198226,244.1965949,979.0369662,1388.459932,1604.250559,200.7687531,630.3218354,40.88457715,13.88572779,8.71698769,1.748421576,2.552567509,0.547847141,0.04727516,0.272628717,8.803066673,2.163045581,4.281294372,7.188819577,0.689649886,1.59872531,0.127200773,0.302209547,0.183161878,0.046031551,0.049307364,0.015961418,0.001070858,0.006676478,0.18855111,0.050464462,0.000215352,0.000414686
Material handling equipment manufacturing,15421,1000,746789.8762,694.5008031,43.16562387,239.6466228,977.3130497,2722.708389,1733.272823,247.5929929,919.9402296,42.79791405,16.46384682,10.37632083,2.06417063,3.010725327,0.637740771,0.055519002,0.319370259,10.43480019,2.563213241,5.13449192,8.088409562,0.930836004,2.144214464,0.165837522,1.202976219,0.737024729,0.190592726,0.189339522,0.058276489,0.004220186,0.023522568,0.756365381,0.18867338,0.000197643,0.000489819
Power-driven handtool manufacturing,3462,1000,575181.6737,530.2240978,35.85260708,416.1798575,982.2565623,1348.953006,1620.971685,193.1216118,459.9374901,37.21475166,13.65179755,8.656000363,1.690234464,2.460002569,0.532649819,0.046558146,0.266352188,8.673226063,2.111658807,4.01556412,7.504127837,0.470785499,1.51226012,0.149025587,0.017297647,0.010532626,0.002615492,0.002820449,0.000887855,5.65E-05,0.000384684,0.011131743,0.002644336,9.05E-05,0.000364928
Packaging machinery manufacturing,3947,1000,453228.7553,735.9801901,38.29619859,207.9581327,982.2345214,1063.780847,1215.445707,150.5986191,347.2516701,40.34218271,10.3976276,6.532098928,1.304284682,1.917261011,0.404629618,0.036121754,0.203231603,6.592943006,1.615601765,3.065507245,5.66630359,0.359783562,1.208664601,0.097347829,0.060243039,0.035335795,0.010323958,0.009387509,0.003642396,0.000180511,0.00137287,0.039037114,0.009132569,0.00015445,0.000300755
Industrial process furnace and oven manufacturing,1562,1000,503820.0409,689.0896778,36.42086896,257.5961089,983.1066556,1081.18696,1276.452562,154.7330289,631.7105561,30.06254817,11.21284515,7.033085828,1.432750967,2.03976351,0.447845935,0.03840152,0.220997392,7.132324418,1.731459723,3.228242292,5.955659246,0.733123449,1.196315876,0.099479763,0.469431788,0.26799794,0.08440192,0.075824653,0.029274663,0.001438946,0.010493665,0.300357824,0.073359622,0.000182306,0.000288809
Fluid power process machinery,13437,1000,601525.8193,669.6838406,37.89522218,270.5035215,978.0825844,1364.431528,1601.485506,191.6394756,501.1047907,47.3126722,13.50066881,8.51004007,1.697446012,2.459055034,0.523899934,0.046870636,0.263357123,8.575502223,2.08850048,3.844578675,7.469147212,0.511800753,1.527007202,0.148100588,0.293424277,0.17419371,0.047974516,0.047379821,0.016424971,0.000926393,0.006524867,0.188465232,0.045248559,0.000160295,0.000362237
Process and oven not fluid power machinery,5672,1000,633179.4341,684.147895,36.54236353,260.7074248,981.3976833,1377.108648,1557.844142,196.2493603,382.5119947,32.12440736,13.47307049,8.525591215,1.637316759,2.483410697,0.5198488,0.045018997,0.261884022,8.569361934,2.082694489,4.065165823,7.330777542,0.392099877,1.548089936,0.136901217,0.099653222,0.057960332,0.017182982,0.015942198,0.006006572,0.000306814,0.002254324,0.064164579,0.015319492,0.000113466,0.000352322
Electronic computer manufacturing,41339,1000,284356.3679,526.8934046,46.23790296,408.7741831,981.9054907,776.5097872,801.2154314,84.68657191,242.163304,25.00726096,6.636095903,4.193017681,0.828869151,1.194470983,0.2648595,0.023086912,0.131791677,4.221138222,1.022411137,1.622864179,3.681258865,0.2526655,1.005139616,0.074157749,0.00547659,0.003077884,0.001004655,0.000885632,0.000373839,1.60E-05,0.000118531,0.003569804,0.000824938,6.47E-05,0.000165725
Computer storage device manufacturing,7877,1000,369960.4194,631.2221937,51.11763561,292.8951779,975.2350072,962.7945373,1084.361457,110.4080699,291.0885812,29.23667209,8.656803299,5.497451908,1.054363466,1.560884825,0.342712642,0.030151216,0.171239243,5.526180968,1.322157987,2.029298421,5.014850926,0.301255156,1.229520908,0.081862771,0.026735446,0.014838898,0.004916929,0.004555961,0.001768302,7.88E-05,0.000576506,0.017163225,0.004163961,4.53E-05,0.000180336
Computer terminals and other computer peripheral equipment manufacturing,18022,1000,361655.7806,575.768873,48.12952102,350.1018039,974.000198,956.0016501,997.1166224,108.4099555,310.0886173,30.91926656,8.243987893,5.209295145,1.043233637,1.46695807,0.332196442,0.028751571,0.16355303,5.25376236,1.264530511,2.085352227,4.50460713,0.32371039,1.24249528,0.08780862,0.067863513,0.040820338,0.011770164,0.009606945,0.00412893,0.00016276,0.001374374,0.046919485,0.00875647,7.99E-05,0.000188358
Telephone apparatus manufacturing,25375,1000,315523.8193,568.092884,39.11836045,373.9030508,981.1142953,815.9676284,862.7348311,97.4646025,246.7368471,26.5214328,7.08518018,4.476415919,0.899094148,1.257999632,0.286259737,0.024778838,0.140631906,4.511384778,1.088743865,1.857245831,3.967402139,0.251062656,0.930389842,0.079069589,0.014902739,0.008226659,0.002768219,0.002606102,0.000949498,4.03E-05,0.000311936,0.009561795,0.002333735,6.95E-05,0.00016823
Broadcast and wireless communications equipment,31035,1000,322268.9043,683.2402805,45.72333904,248.3773579,977.3409774,824.8812717,957.8971591,96.01575778,259.2767837,28.82716044,7.698448223,4.872893998,0.964861848,1.373103447,0.308424525,0.026665851,0.152498554,4.903348041,1.18210157,1.877292445,4.447387823,0.270497786,1.021555493,0.081702545,0.01070907,0.005900434,0.001976496,0.001904508,0.000669064,3.12E-05,0.000227387,0.006803117,0.001704712,6.28E-05,0.000180079
Other communications equipment manufacturing,5161,1000,341511.1256,668.6717499,43.54053504,272.1673034,984.3795884,836.688266,965.6610627,101.7210264,296.5539271,29.09189233,7.82041774,4.930889421,0.988062429,1.408933773,0.310977518,0.027406081,0.154148519,4.979257832,1.201406647,1.94471537,4.482260551,0.306181008,1.011673541,0.075575395,0.041168836,0.022435957,0.008251192,0.007031619,0.002461128,0.000123676,0.000865264,0.025966394,0.006565173,9.09E-05,0.000185117
Audio and video equipment manufacturing,9586,1000,549366.139,634.4360492,47.78405171,298.086205,980.3063059,1434.100925,1462.746253,194.0206494,736.1654827,68.49885734,13.12968597,8.309219677,1.647372927,2.351903444,0.515457653,0.047317919,0.258414347,8.333938004,2.031531897,3.726985255,6.732670369,0.780537307,1.757244896,0.132214709,0.063809999,0.036337489,0.011030412,0.011232875,0.003693523,0.000186987,0.001328713,0.04072856,0.009977977,0.000109279,0.000356205
Electron tube manufacturing,3248,1000,712425.8459,677.385088,49.09699328,256.9093476,983.3914289,2290.80793,1853.67578,256.1066406,660.0419177,48.62754817,17.5779781,11.21114714,2.197408984,3.026993855,0.712237637,0.073489345,0.356701144,11.2279466,2.670389527,4.868108624,8.666337377,0.699499492,3.187519366,0.156453351,0.434435927,0.238035953,0.094435265,0.057314998,0.033243269,0.001626927,0.009779515,0.283065598,0.064296703,2.38E-05,0.000330707
Bare printed circuit board manufacturing,6726,1000,572377.6387,689.0981326,45.57495999,247.781652,982.4547445,1346.77903,1963.076054,167.9465111,411.046039,50.54157639,14.67047155,9.472813503,1.762405252,2.510747857,0.583215649,0.051522577,0.289766717,9.416203439,2.206737626,3.158426972,9.287261231,0.436335159,1.592951355,0.195462278,0.402553693,0.219324223,0.087643265,0.054307762,0.030752458,0.001507131,0.009018854,0.26161523,0.060027277,-0.000143931,0.000203967
Semiconductor and related device manufacturing,59986,1000,603083.0966,516.3873504,38.90488779,431.9075542,987.1997924,1170.90769,2052.617096,154.5127208,293.6343032,45.03294304,14.23846818,9.375004478,1.610714391,2.38833811,0.536088746,0.049379833,0.278942622,9.147637855,2.131337852,2.666665944,9.741432777,0.292281243,1.2984783,0.239580368,0.131243742,0.071651449,0.028846629,0.017041819,0.010203473,0.000515264,0.002985108,0.085395801,0.019440021,-0.000395342,0.000170239
Electronic connector manufacturing,3848,1000,586271.6711,705.4412219,39.60918993,233.2348464,978.2852582,1321.123403,2106.885723,176.6503569,384.8428256,46.53888476,15.36343232,9.872914374,1.908198053,2.624978296,0.602317189,0.05382074,0.301203667,9.821209141,2.330735613,3.380956754,9.923289125,0.387907016,1.480926996,0.190315821,0.12650594,0.075886279,0.023620236,0.015472404,0.008346228,0.000390078,0.002790716,0.084989764,0.01731114,-8.39E-05,0.000277885
Printed circuit assembly (electronic assembly) manufacturing,23103,1000,399912.3855,629.1751841,48.1254817,305.0031724,982.3038382,992.5674304,1228.635656,116.3098121,322.3462734,33.28198092,9.558186644,6.110778155,1.16505982,1.680990533,0.379039162,0.033285464,0.189033509,6.109478721,1.453972904,2.166095895,5.7316181,0.340912555,1.199101881,0.120441247,0.124900792,0.068399042,0.026814766,0.017074691,0.009335721,0.000480536,0.002796036,0.080852287,0.018760231,-7.68E-06,0.000182031
Other electronic component manufacturing,10387,1000,453960.8216,715.1215625,45.21268542,221.1332564,981.4675044,1104.152874,1409.464954,137.8902527,358.3990213,35.88192358,11.02562983,7.000781355,1.384926094,1.943735391,0.439940871,0.038885149,0.217360971,7.040312943,1.680739041,2.616363228,6.591279166,0.37985317,1.318784305,0.119328337,0.130511973,0.07193862,0.027826805,0.017607279,0.009708904,0.000501947,0.002928418,0.084676253,0.019480426,5.91E-05,0.000221503
"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing",3171,1000,609457.4644,687.7952384,45.62786844,243.8796202,977.302727,1372.628448,2010.613798,183.9503574,426.628419,40.53417708,15.33957198,9.856628379,1.876406291,2.644063995,0.608094505,0.053001058,0.301377752,9.81860328,2.324182073,3.616411313,9.51207466,0.45216021,1.573700437,0.185186343,0.50941305,0.27150254,0.115498761,0.068566703,0.040481185,0.001905825,0.011458036,0.329571058,0.076846007,-8.24E-05,0.000264517
Electromedical apparatus manufacturing,15180,1000,356100.1373,620.192444,36.54239124,330.6755615,987.4103968,897.4939985,963.6142925,108.113777,317.8344271,35.20812167,8.00319976,5.034818371,1.022111262,1.440703387,0.320117833,0.027660247,0.157788659,5.084536371,1.237639245,2.110590672,4.404846572,0.320551627,1.077251683,0.089946501,0.011551308,0.006816446,0.002018902,0.001692026,0.000733644,3.02E-05,0.000260066,0.007669959,0.001641691,0.000109045,0.000213292
"Search, detection, and navigation instruments",30705,1000,309124.071,747.392874,32.58343845,210.4161179,990.3924303,751.1819816,898.9426766,87.45519122,215.2490322,25.30092877,7.007331787,4.450864843,0.862592054,1.25067893,0.280454292,0.024160961,0.138580707,4.480730181,1.066119828,1.658330903,4.177434147,0.219639112,0.885325967,0.066592456,0.032622147,0.019667233,0.005593517,0.004513519,0.002012371,8.39E-05,0.000751641,0.021778677,0.004566988,3.54E-05,0.000132981
Automatic environmental control manufacturing,2525,1000,446503.1142,633.3286605,35.40924217,316.4640774,985.2019801,1076.943754,1382.381242,146.075158,354.492913,36.10813387,10.77278593,6.821796695,1.378626104,1.88311472,0.438081407,0.037111012,0.214055994,6.884560267,1.643004093,2.96773186,6.100101259,0.358404621,1.237545545,0.108981726,0.55193644,0.355869303,0.080121767,0.071999733,0.029635857,0.00133024,0.012979539,0.373624414,0.074695878,8.38E-05,0.000215367
Industrial process variable instruments,6969,1000,440202.5503,696.1554095,37.58758241,248.567266,982.3102579,1022.403967,1233.838412,133.3425239,300.6281731,34.37620655,9.954637689,6.278302969,1.264387295,1.788906882,0.392543096,0.034991045,0.195506402,6.335875856,1.530485922,2.615740293,5.747902085,0.300013501,1.193252281,0.097711396,0.046425899,0.029500335,0.007080853,0.006043971,0.002594517,0.000112882,0.00109334,0.031383027,0.006299397,0.000113287,0.000239476
Totalizing fluid meters and counting devices,5295,1000,457765.241,670.8047379,43.87211298,269.6502515,984.3271024,1086.015912,1294.483682,148.5291986,386.1860175,36.96720233,10.77085065,6.791755697,1.362862282,1.941121304,0.426537726,0.03728965,0.211283992,6.84388276,1.66401138,3.014505455,5.964427474,0.395105762,1.283451039,0.113339116,0.096651018,0.056102022,0.017033465,0.015021894,0.006110068,0.000267425,0.002116145,0.063153053,0.014312313,0.000124447,0.000282896
Electricity and signal testing instruments,9731,1000,284652.852,742.8397916,32.83500685,213.3448526,989.019651,711.9855116,817.5961189,82.06879631,214.4451723,24.22001512,6.50948632,4.130551794,0.802363101,1.165857026,0.259543297,0.022552558,0.128618544,4.157835754,0.992952831,1.559757939,3.821106181,0.218864504,0.847219558,0.062530029,0.022689661,0.013298564,0.003962613,0.003426923,0.00143726,6.05E-05,0.000503772,0.015007701,0.003254997,3.87E-05,0.000131598
Analytical laboratory instrument manufacturing,7547,1000,334867.9281,688.636131,37.78546783,260.6588486,987.0804475,835.8702189,894.0835019,99.79220454,329.6887872,34.7855707,7.470309899,4.70386763,0.949848673,1.340371864,0.301518688,0.026372386,0.148330659,4.757859008,1.147637181,1.889099608,4.127212428,0.357809008,1.021815986,0.07436177,0.009237825,0.005661714,0.001570167,0.00119749,0.000567363,2.28E-05,0.000218313,0.006226528,0.001260749,9.57E-05,0.000176102
Irradiation apparatus manufacturing,4797,1000,385276.2829,594.9942456,38.06796638,352.9179879,985.9801999,951.3877023,1045.889534,118.4803221,308.5670452,30.8137549,8.80529727,5.576062725,1.106749886,1.565302516,0.353394037,0.029911257,0.173876848,5.612435548,1.352075591,2.34162957,4.871540973,0.319073551,1.17238883,0.100649114,0.014905015,0.008622784,0.00263682,0.002319964,0.00095862,4.04E-05,0.000326434,0.009802784,0.00217129,6.83E-05,0.00020394
"Watch, clock, and other measuring and controlling device manufacturing",6011,1000,370517.3145,707.9145634,36.72684114,240.6023564,985.2437609,874.4518687,1055.172982,109.5737455,283.3918552,31.62652028,8.455580453,5.373062466,1.04451197,1.508134418,0.334090406,0.029230014,0.166551179,5.395193964,1.293068393,2.109293032,4.92070021,0.288448396,1.047328998,0.089796494,0.051963655,0.030934954,0.008667952,0.007873753,0.003199493,0.000135812,0.001151691,0.034500012,0.007397867,3.95E-05,0.000181101
Magnetic and optical recording media manufacturing,2568,1000,532847.0179,499.1300676,37.31011236,433.9500584,970.3902383,1219.545311,1519.089807,149.4403436,458.1924425,40.78643117,11.71204595,7.383017618,1.519710369,2.078765004,0.458138638,0.042768451,0.229645872,7.460244733,1.792113133,2.64009417,7.124513318,0.439234424,1.393990569,0.114189207,0.040503918,0.023455104,0.006630973,0.006965518,0.002476151,0.000121515,0.000854657,0.026080239,0.006182766,0.000138463,0.000259632
"Software, audio and video reproduction",5022,1000,565343.734,623.5420487,40.07364061,321.7810027,985.3966921,1408.560772,1538.36748,171.394371,458.7095782,57.39133433,11.78952897,7.541049126,1.406597484,2.115608553,0.451328117,0.043287345,0.231658347,7.515109464,1.799949907,2.652023541,6.8860937,0.421392699,1.69555559,0.13443948,0.025286909,0.013975436,0.004585689,0.00443261,0.00167541,7.43E-05,0.000543508,0.01618021,0.003952632,-1.47E-05,0.000249573
Electric lamp bulb and part manufacturing,2510,1000,493874.6038,509.2917884,30.62878091,449.347701,989.2682703,1601.944987,1408.051289,185.7034385,489.541047,36.55308381,12.89992724,8.319190712,1.521977655,2.235039228,0.513889838,0.050207027,0.259622781,8.266202281,1.947453362,3.877830647,6.323513651,0.483309453,2.073150608,0.14208563,1.342520354,0.886463518,0.133388477,0.231913721,0.061208025,0.002680375,0.026866239,0.876344928,0.198953294,-0.000111922,0.00020196
Lighting fixture manufacturing,9501,1000,558067.9685,565.3830915,39.7472498,377.3007812,982.4311225,1350.985031,1452.292362,173.4136816,504.5372538,37.6270916,12.3482164,7.767602964,1.587981114,2.22157362,0.484541008,0.044223441,0.242294251,7.83811717,1.909944554,3.407382155,6.714035269,0.513173392,1.58690738,0.126689398,0.109379903,0.060637398,0.021501557,0.018092786,0.006568635,0.000330124,0.002249403,0.069545362,0.017053964,0.00016919,0.000333393
Small electrical appliance manufacturing,3958,1000,570488.8881,526.4999828,37.95122472,421.5567222,986.0079297,1420.659151,1385.204135,192.6528068,1847.017895,46.11314957,13.48219617,8.486976289,1.732175774,2.408142236,0.535398019,0.050151788,0.26935207,8.543659669,2.099344107,3.570276543,6.292037982,1.951048394,1.532092841,0.136702256,1.650571316,1.042149261,0.210841108,0.285570405,0.067307819,0.007994233,0.03670849,1.03455649,0.266738893,0.000176192,0.000402553
Household cooking appliance manufacturing,4164,1000,782216.5038,570.0623374,42.28955443,368.9670748,981.3189666,1741.065965,1879.60751,259.9738048,1936.004031,62.36617618,18.51692234,11.59485074,2.406888701,3.313692525,0.766331683,0.06531245,0.36984624,11.7523282,2.880603324,5.064148397,8.71707989,2.466093422,1.978955732,0.290572605,1.948294907,1.143770677,0.302648822,0.326276628,0.123972391,0.006949173,0.044677217,1.23140068,0.317479327,0.000328732,0.000537668
Household refrigerator and home freezer manufacturing,5329,1000,775577.9181,611.125324,43.33991102,327.3329892,981.7982243,1728.855845,1801.30044,217.0514575,1959.027671,55.01742203,17.25468975,10.80374699,2.239361034,3.091853701,0.71588196,0.060360343,0.343485722,10.94862473,2.688874325,4.219886894,8.340874627,2.485924763,2.019774826,0.188164364,1.99726914,1.172018173,0.310622646,0.334695085,0.127052759,0.007110673,0.045769803,1.262368626,0.325437522,0.000307345,0.000512695
Household laundry equipment manufacturing,4344,1000,706204.6084,584.1821325,38.13413542,358.4661072,980.7823751,1574.714897,1672.641144,217.9502396,2477.618712,42.90425512,17.39307831,10.85036121,2.256540363,3.139022775,0.73884177,0.059972976,0.348339213,11.02662167,2.724340156,4.431627233,7.772782566,3.253202484,1.76725741,0.168140325,2.979872382,1.781869786,0.442902661,0.496634619,0.180996201,0.010206626,0.067262489,1.890435293,0.47985582,0.000366314,0.000552883
Other major household appliance manufacturing,3138,1000,654931.3284,538.3953243,36.64437388,409.832124,984.8718221,1526.788469,1455.827508,231.3265308,1918.689401,50.05608873,15.4842732,9.663629196,2.029301199,2.762390499,0.663682065,0.053817736,0.311452503,9.830852109,2.414719826,4.487668733,6.699494613,2.469144176,1.649496242,0.17841512,2.567126845,1.523894838,0.390643101,0.429779096,0.156596355,0.008648909,0.057564546,1.628256007,0.413587601,0.000320409,0.000461157
Electric power and specialty transformer manufacturing,4008,1000,813034.6666,593.5117122,42.31234053,325.9755334,961.7995861,1725.29023,1981.908284,242.2041059,582.6767383,41.16473444,17.01464043,10.80006539,2.122482014,3.026799934,0.677867729,0.055679393,0.331745976,10.83010849,2.627166767,5.229133245,9.121528311,0.559133698,1.907369009,0.197418271,0.413641922,0.251951722,0.060097887,0.070167418,0.021779364,0.00133394,0.008311592,0.262116681,0.065176447,9.61E-05,0.000434118
Motor and generator manufacturing,9144,1000,659911.6771,601.5989708,37.47084091,325.4851506,964.5549623,1493.636001,1720.246184,213.176949,608.5511846,38.06119875,14.87507799,9.40175282,1.88274822,2.660866004,0.589315726,0.050323606,0.290071615,9.454606625,2.299951929,4.486285121,7.974525725,0.614355033,1.648500285,0.151369788,0.468039654,0.28815602,0.067052051,0.078053449,0.02385776,0.001528681,0.009391692,0.297403905,0.073070529,0.000140814,0.000393439
Switchgear and switchboard apparatus manufacturing,7833,1000,422535.4024,535.1563623,36.40256194,406.0890589,977.6479831,999.8654618,1360.326775,135.071229,314.2438686,26.81350976,10.62880039,6.852816131,1.27395856,1.850931144,0.406504995,0.036295324,0.208294238,6.772177556,1.629115812,2.693330565,6.399134942,0.316717989,1.117595267,0.102002003,0.069583141,0.043234613,0.00970437,0.011542194,0.003482469,0.000226926,0.001392568,0.044237661,0.010837903,-8.98E-05,0.000240819
Relay and industrial control manufacturing,8879,1000,337524.3798,603.9017815,38.68831437,336.1973112,978.7874071,868.1693095,947.6797485,104.1614832,289.2060789,22.96701717,7.871373655,4.996153134,0.971964231,1.412424429,0.308733529,0.027024373,0.155073959,5.007703343,1.212826344,2.080444369,4.39208282,0.299368648,1.019328319,0.080137212,0.021874489,0.014091004,0.002750381,0.003526489,0.001001005,7.25E-05,0.00043315,0.013947836,0.0033612,4.48E-05,0.000196381
Storage battery manufacturing,3395,1000,1043583.377,634.8959533,46.4308906,284.3953054,965.7221493,2114.62124,5877.244133,315.8230166,491.3825811,101.2355487,37.73530347,25.86599754,3.754698694,5.939302746,1.31811567,0.123421325,0.733767502,24.31822564,5.59244042,5.801319273,28.5503902,0.480112194,2.088363965,0.8149441,0.58273937,0.373664914,0.081665966,0.088230997,0.026349171,0.001313511,0.011514811,0.372664238,0.090564974,-0.002487356,0.000287831
Primary battery manufacturing,2879,1000,553051.5739,423.4473182,30.83411173,530.3483764,984.6298063,1263.78565,1732.256226,204.8839411,458.9365947,41.45910217,14.0487165,9.084366729,1.668495179,2.442744325,0.531551416,0.047788679,0.273770175,8.954025956,2.151207883,3.952808717,8.024515966,0.459928466,1.4098289,0.201599677,0.463173952,0.295678531,0.065024841,0.071367147,0.020818086,0.001107778,0.009177569,0.295652178,0.072168468,-0.000156213,0.000312192
Communication and energy wire and cable manufacturing,10803,1000,762005.8876,583.2474076,47.12099384,330.8098783,961.1782797,2042.680242,3235.0032,301.0950124,735.3609883,73.166077,24.61604917,15.84525491,3.156379844,4.03823595,1.007171196,0.083772761,0.485234508,15.68443001,3.767459815,6.486977317,14.86965755,0.723207123,2.300117317,0.235994028,0.476587066,0.292635212,0.072061074,0.078074537,0.022155023,0.001371707,0.010289514,0.297209287,0.076494981,-0.000171674,0.00054522
Wiring device manufacturing,8996,1000,682681.0181,537.7858932,34.39832091,407.2150046,979.3992188,1458.372644,1901.920948,198.7831831,461.5807065,42.75093514,15.20616654,9.678860116,1.897727007,2.696268293,0.584559772,0.052554682,0.296196669,9.678453818,2.33754435,3.943452273,9.016015429,0.445204259,1.625355296,0.176098393,0.129400262,0.073840968,0.022455426,0.022291011,0.007570933,0.000426047,0.002815877,0.082791864,0.020122896,4.82E-05,0.000364985
Carbon and graphite product manufacturing,1652,1000,1227725.331,564.0468106,39.70565938,381.0881866,984.8406566,3778.386922,5909.763722,1532.90609,951.0973418,109.8404533,55.34288675,35.51117446,6.989400576,9.604546239,1.968347249,0.217177924,1.052240303,34.70753447,8.713626662,23.89117295,26.44755983,0.782880409,3.680122247,0.540496199,20.26572873,13.93049577,1.812531584,3.505590671,0.539806112,0.0973271,0.379977491,12.35422025,3.367377978,-0.000226728,0.00205041
